Id,Probability
1,0.09563726
2,0.0532855
3,0.009175161
4,0.03868589
5,0.18176946
6,0.0694953
7,0.024239903
8,0.013451636
9,0.0032441837
10,0.31095222
11,0.0072881323
12,0.018839253
13,0.0037822798
14,0.09953657
15,0.053796098
16,0.013547523
17,0.06279261
18,0.015514962
19,0.07896499
20,0.15336445
21,0.009410563
22,0.019677421
23,0.0017861165
24,0.24735264
25,0.04471689
26,0.013038114
27,0.067579344
28,0.013473433
29,0.07145668
30,0.10907658
31,0.06543211
32,0.009150645
33,0.02048698
34,0.15856156
35,0.124196686
36,0.14411646
37,0.04967625
38,0.018139204
39,0.02794368
40,0.012667406
41,0.6726415
42,0.16921176
43,0.13657796
44,0.009899625
45,0.0040233075
46,0.0016041289
47,0.00076177
48,0.019407596
49,0.018975547
50,0.042635422
51,0.06488177
52,0.010642847
53,0.009287864
54,0.066948935
55,0.020465013
56,0.044668917
57,0.00499325
58,0.22295834
59,0.08610056
60,0.061004084
61,0.03231435
62,0.007500905
63,0.027469717
64,0.00959698
65,0.012796536
66,0.05999268
67,0.013365419
68,0.116043866
69,0.012773184
70,0.31180128
71,0.024314659
72,0.088909134
73,0.012932027
74,0.09350841
75,0.019718183
76,0.0444539
77,0.15945633
78,0.046365447
79,0.10277729
80,0.04661468
81,0.0143323885
82,0.019235581
83,0.17709918
84,0.006031867
85,0.016306683
86,0.04287485
87,0.061493754
88,0.010645427
89,0.096032836
90,0.01514979
91,0.039147772
92,0.021365762
93,0.026560824
94,0.026943864
95,0.0039717266
96,0.041191485
97,0.048343815
98,0.07570669
99,0.03549348
100,0.006792199
101,0.0656255
102,0.07808965
103,0.007301762
104,0.056675225
105,0.06074825
106,0.044046406
107,0.32795188
108,0.013229406
109,0.0034056164
110,0.030659415
111,0.013561161
112,0.06779261
113,0.025261516
114,0.38641304
115,0.11261995
116,0.014952921
117,0.0031708993
118,0.10987036
119,0.020423034
120,0.01189452
121,0.012350442
122,0.0546654
123,0.031821277
124,0.55218095
125,0.006106469
126,0.004882935
127,0.0011424887
128,0.011255636
129,0.006518879
130,0.05605721
131,0.014831377
132,0.07929843
133,0.013867501
134,0.014682579
135,0.08041738
136,0.008428717
137,0.16049641
138,0.043218043
139,0.004612623
140,0.035704367
141,0.0047737495
142,0.021124832
143,0.004724901
144,0.017379198
145,0.3785356
146,0.0063295667
147,0.004596612
148,0.030210529
149,0.011134213
150,0.11762837
151,0.005729315
152,0.015222202
153,0.005521855
154,0.0071504223
155,0.024063276
156,0.032736477
157,0.019666327
158,0.00870982
159,0.340086
160,0.024329063
161,0.0051547354
162,0.018861184
163,0.029640993
164,0.08654046
165,0.018385634
166,0.035838153
167,0.5802876
168,0.033075392
169,0.05323831
170,0.018603645
171,0.0048933774
172,0.008748617
173,0.013264785
174,0.05049919
175,0.028218077
176,0.4356588
177,0.032716632
178,0.20971777
179,0.004816733
180,0.015512711
181,0.018525766
182,0.0056061703
183,0.012584701
184,0.026465505
185,0.116861224
186,0.0072039026
187,0.011882702
188,0.030465756
189,0.07345703
190,0.023886088
191,0.01854505
192,0.040791735
193,0.015171542
194,0.09878373
195,0.0047834665
196,0.040791158
197,0.007769203
198,0.0106781805
199,0.011074008
200,0.0052936957
